point_id,age_at_entry,sex,policy_term,policy_count,sum_assured
1,47,M,10,1,622000
2,29,M,20,1,752000
3,51,F,10,1,799000
4,32,F,20,1,422000
5,28,M,15,1,605000
6,51,F,20,1,89000
7,45,F,10,1,513000
8,47,F,15,1,85000
9,59,F,10,1,404000
10,35,F,20,1,839000
11,53,F,10,1,771000
12,33,M,10,1,708000
13,42,M,20,1,806000
14,43,M,20,1,492000
15,28,F,15,1,864000
16,27,M,15,1,421000
17,29,F,20,1,428000
18,46,M,10,1,780000
19,44,M,15,1,968000
20,57,F,15,1,274000
21,48,M,20,1,453000
22,29,F,15,1,441000
23,56,M,15,1,769000
24,57,F,10,1,295000
25,49,M,10,1,999000
26,46,M,20,1,361000
27,25,M,15,1,407000
28,23,M,10,1,860000
29,30,M,10,1,859000
30,37,F,20,1,513000
31,22,M,20,1,822000
32,55,M,20,1,390000
33,38,M,20,1,616000
34,47,M,15,1,981000
35,28,F,20,1,781000
36,33,M,20,1,343000
37,24,M,20,1,364000
38,49,F,20,1,898000
39,50,M,20,1,439000
40,28,M,10,1,605000
41,48,M,10,1,418000
42,23,F,15,1,79000
43,35,M,20,1,665000
44,26,F,20,1,359000
45,49,M,20,1,377000
46,33,F,20,1,43000
47,38,F,20,1,112000
48,38,F,20,1,211000
49,39,M,15,1,319000
50,30,M,20,1,474000
51,42,M,20,1,238000
52,52,F,15,1,471000
53,39,M,10,1,602000
54,27,M,20,1,171000
55,20,F,10,1,63000
56,25,F,10,1,996000
57,23,M,20,1,146000
58,23,F,15,1,745000
59,24,M,20,1,810000
60,43,F,10,1,913000
61,52,F,15,1,765000
62,54,M,20,1,59000
63,46,F,10,1,592000
64,44,F,20,1,725000
65,33,F,20,1,218000
66,57,M,20,1,517000
67,45,F,20,1,383000
68,48,F,15,1,583000
69,49,F,15,1,465000
70,54,M,20,1,679000
71,48,F,10,1,735000
72,57,M,10,1,133000
73,41,M,15,1,256000
74,41,F,15,1,520000
75,30,M,10,1,828000
76,57,M,15,1,967000
