spec_id,age_at_entry,sex,policy_term,policy_count,sum_assured,duration_mth,premium_pp,av_pp_init,accum_prem_init_pp
D,19,M,14,263.8,308575,0,209922,0,0
D,31,M,6,757.2,303091,0,225569,0,0
A,61,M,16,934.5,465434,0,380759,0,0
B,24,M,14,654.8,361588,0,301119,0,0
D,19,M,17,194.8,313998,0,247572,0,0
B,57,F,20,717.2,440259,0,345829,0,0
B,56,M,12,460.6,326099,0,289163,0,0
D,23,F,12,417.4,587759,0,575209,0,0
D,36,F,17,103.6,668460,0,582248,0,0
B,48,F,6,497.0,547430,0,471162,0,0
A,44,F,16,119.8,509508,0,416081,0,0
A,68,F,16,683.4,569669,0,556955,0,0
C,46,M,6,722.7,374074,0,296676,0,0
D,58,M,11,446.1,411034,0,368017,0,0
C,32,F,5,734.1,670653,0,631850,0,0
D,52,F,15,285.9,306983,0,290078,0,0
C,34,M,8,474.6,421983,0,360282,0,0
C,24,M,9,860.7,300449,0,223000,0,0
C,42,M,13,193.1,516076,0,498153,0,0
B,38,F,8,324.2,391680,0,304962,0,0
A,26,F,6,762.1,333880,0,287034,0,0
B,38,M,20,650.6,623001,0,531800,0,0
A,28,F,7,233.9,546427,0,461849,0,0
C,24,M,10,150.5,547557,0,536599,0,0
A,26,F,15,368.9,604570,0,533120,0,0
B,29,M,18,647.8,343025,0,321342,0,0
A,55,F,8,962.6,437421,0,360152,0,0
D,36,M,12,610.3,311388,0,225500,0,0
D,58,F,19,229.5,688799,0,654471,0,0
D,60,F,13,371.8,452197,0,405261,0,0
D,49,F,16,224.0,495582,0,472168,0,0
C,68,M,16,378.6,550265,0,537335,0,0
D,66,F,13,4.9,456508,0,396191,0,0
D,35,F,11,199.3,476504,0,428573,0,0
B,50,F,5,362.1,456838,0,382838,0,0
D,30,F,6,809.9,408264,0,342314,0,0
A,48,M,8,659.8,349150,0,324151,0,0
A,70,M,14,535.3,514301,0,426050,0,0
B,63,F,16,228.3,443214,0,379366,0,0
C,57,M,17,430.8,570289,0,488217,0,0
A,66,F,20,377.5,489873,0,390148,0,0
D,19,M,13,509.4,304380,0,271971,0,0
A,48,M,12,183.3,360005,0,328598,0,0
D,28,F,7,919.8,680829,0,613748,0,0
C,26,F,20,726.6,368323,0,325852,0,0
D,25,F,17,837.1,375371,0,303262,0,0
C,69,M,11,596.5,600413,0,575021,0,0
B,52,M,20,26.0,550328,0,464355,0,0
A,54,F,11,296.2,493799,0,440225,0,0
C,56,F,16,362.1,428122,0,410487,0,0
A,67,F,11,728.1,699770,0,609388,0,0
D,53,F,16,397.1,348987,0,285247,0,0
B,21,F,20,968.4,573901,0,497126,0,0
A,47,M,5,4.3,403684,0,313954,0,0
D,54,M,18,372.4,529688,0,465921,0,0
C,23,M,6,79.2,334851,0,267879,0,0
B,37,M,17,61.5,465081,0,414673,0,0
D,53,M,17,696.1,451174,0,423800,0,0
