spec_id,age_at_entry,sex,policy_term,policy_count,sum_assured,duration_mth,premium_pp,av_pp_init,accum_prem_init_pp
A,47,M,20,22.0,804000,0,804000,0,0
B,43,F,10,26.0,403000,0,403000,0,0
B,47,M,15,60.0,150000,0,150000,0,0
D,53,M,9999,75.0,301000,0,1000,0,0
B,30,F,15,37.0,706000,0,706000,0,0
C,41,M,9999,34.0,31000,0,100,0,0
C,52,M,9999,26.0,234000,0,700,0,0
B,35,M,10,82.0,620000,0,620000,0,0
D,30,M,9999,1.0,622000,0,1100,0,0
A,41,M,10,52.0,767000,0,767000,0,0
A,23,F,20,3.0,986000,0,986000,0,0
D,22,M,9999,23.0,804000,0,1200,0,0
D,23,F,9999,12.0,441000,0,700,0,0
C,50,M,9999,34.0,781000,0,2200,0,0
C,29,F,9999,68.0,894000,0,1500,0,0
D,24,M,9999,58.0,402000,0,600,0,0
D,46,M,9999,63.0,661000,0,1700,0,0
C,48,F,9999,72.0,468000,0,1300,0,0
C,23,M,9999,90.0,271000,0,400,0,0
A,58,F,10,60.0,627000,0,627000,0,0
C,26,F,9999,53.0,160000,0,300,0,0
D,48,F,9999,14.0,489000,0,1300,0,0
C,38,M,9999,94.0,928000,0,1900,0,0
A,26,F,20,37.0,741000,0,741000,0,0
B,23,F,15,82.0,500000,0,500000,0,0
C,20,M,9999,80.0,341000,0,500,0,0
C,46,F,9999,86.0,261000,0,700,0,0
D,32,F,9999,4.0,628000,0,1100,0,0
D,23,M,9999,74.0,258000,0,400,0,0
B,28,M,20,56.0,801000,0,801000,0,0
B,27,F,10,6.0,714000,0,714000,0,0
C,40,M,9999,51.0,867000,0,1900,0,0
B,53,M,10,5.0,384000,0,384000,0,0
D,32,F,9999,13.0,911000,0,1600,0,0
B,57,F,10,2.0,614000,0,614000,0,0
C,44,F,9999,90.0,612000,0,1500,0,0
D,43,M,9999,75.0,386000,0,900,0,0
C,32,M,9999,76.0,165000,0,300,0,0
C,40,M,9999,51.0,885000,0,1900,0,0
C,23,M,9999,48.0,198000,0,300,0,0
C,39,F,9999,28.0,789000,0,1700,0,0
C,41,M,9999,59.0,78000,0,200,0,0
A,25,M,20,47.0,877000,0,877000,0,0
D,32,M,9999,86.0,109000,0,200,0,0
D,33,M,9999,52.0,138000,0,300,0,0
B,46,M,20,18.0,260000,0,260000,0,0
A,40,M,20,71.0,51000,0,51000,0,0
B,57,M,15,71.0,481000,0,481000,0,0
C,22,M,9999,18.0,743000,0,1100,0,0
C,20,M,9999,30.0,867000,0,1300,0,0
A,48,F,15,36.0,888000,0,888000,0,0
D,22,M,9999,65.0,303000,0,500,0,0
B,21,F,20,20.0,766000,0,766000,0,0
D,44,M,9999,68.0,763000,0,1800,0,0
C,50,M,9999,64.0,413000,0,1200,0,0
A,33,F,15,12.0,844000,0,844000,0,0
C,23,F,9999,10.0,693000,0,1100,0,0
D,32,M,9999,25.0,311000,0,600,0,0
C,36,F,9999,57.0,115000,0,300,0,0
A,21,M,15,73.0,711000,0,711000,0,0
A,47,F,15,91.0,375000,0,375000,0,0
A,26,M,20,80.0,62000,0,62000,0,0
B,55,F,10,63.0,761000,0,761000,0,0
B,22,F,20,23.0,423000,0,423000,0,0
D,21,F,9999,57.0,253000,0,400,0,0
A,29,M,20,24.0,934000,0,934000,0,0
A,55,F,10,20.0,969000,0,969000,0,0
B,54,F,20,20.0,639000,0,639000,0,0
B,26,F,10,75.0,529000,0,529000,0,0
A,59,M,10,57.0,402000,0,402000,0,0
C,55,F,9999,1.0,576000,0,2000,0,0
B,27,F,20,58.0,250000,0,250000,0,0
D,57,F,9999,34.0,893000,0,3300,0,0
A,53,M,15,2.0,996000,0,996000,0,0
D,41,M,9999,100.0,418000,0,900,0,0
D,38,F,9999,22.0,495000,0,1000,0,0
D,51,F,9999,60.0,640000,0,1900,0,0
C,59,M,9999,88.0,70000,0,300,0,0
C,27,F,9999,15.0,182000,0,300,0,0
C,58,M,9999,47.0,260000,0,1000,0,0
A,41,F,15,39.0,831000,0,831000,0,0
D,38,M,9999,69.0,880000,0,1800,0,0
C,25,M,9999,68.0,854000,0,1300,0,0
B,22,M,15,31.0,382000,0,382000,0,0
B,30,M,20,25.0,614000,0,614000,0,0
C,29,M,9999,45.0,69000,0,200,0,0
A,52,M,10,23.0,572000,0,572000,0,0
C,22,M,9999,21.0,919000,0,1400,0,0
C,46,F,9999,46.0,342000,0,900,0,0
C,57,F,9999,39.0,990000,0,3600,0,0
C,27,F,9999,3.0,61000,0,100,0,0
A,25,F,20,51.0,905000,0,905000,0,0
D,41,M,9999,77.0,530000,0,1200,0,0
A,34,F,20,49.0,625000,0,625000,0,0
A,59,F,15,90.0,992000,0,992000,0,0
C,36,M,9999,46.0,545000,0,1100,0,0
D,43,M,9999,91.0,595000,0,1400,0,0
A,34,F,10,80.0,542000,0,542000,0,0
D,30,M,9999,47.0,201000,0,400,0,0
C,47,M,9999,42.0,353000,0,900,0,0
