spec_id,age_at_entry,sex,policy_term,policy_count,sum_assured,duration_mth,premium_pp,av_pp_init,accum_prem_init_pp
A,47,M,20,22.0,804000,0,804000,0,0
A,33,M,15,36.0,397000,0,397000,0,0
A,36,M,15,43.0,620000,0,620000,0,0
B,58,F,15,6.0,788000,0,788000,0,0
A,23,F,15,19.0,205000,0,205000,0,0
C,59,M,9999,30.0,47000,0,200,0,0
A,38,F,20,39.0,282000,0,282000,0,0
C,31,F,9999,43.0,40000,0,100,0,0
D,49,F,9999,5.0,723000,0,2000,0,0
C,20,M,9999,34.0,332000,0,500,0,0
B,43,F,10,26.0,403000,0,403000,0,0
B,35,M,10,39.0,232000,0,232000,0,0
D,55,M,9999,64.0,327000,0,1100,0,0
A,31,M,10,4.0,576000,0,576000,0,0
B,49,M,10,85.0,71000,0,71000,0,0
C,49,F,9999,100.0,54000,0,200,0,0
A,56,F,10,97.0,24000,0,24000,0,0
D,54,F,9999,15.0,926000,0,3000,0,0
D,53,M,9999,50.0,209000,0,700,0,0
C,56,M,9999,24.0,339000,0,1200,0,0
B,47,M,15,60.0,150000,0,150000,0,0
A,51,M,10,12.0,886000,0,886000,0,0
A,29,F,15,84.0,852000,0,852000,0,0
B,49,F,10,44.0,84000,0,84000,0,0
D,42,M,9999,33.0,442000,0,1000,0,0
C,30,F,9999,13.0,524000,0,900,0,0
C,43,F,9999,97.0,376000,0,900,0,0
D,46,F,9999,25.0,924000,0,2300,0,0
D,32,F,9999,49.0,160000,0,300,0,0
C,35,F,9999,88.0,566000,0,1100,0,0
D,53,M,9999,75.0,301000,0,1000,0,0
A,43,M,10,68.0,919000,0,919000,0,0
D,38,F,9999,10.0,564000,0,1200,0,0
D,42,M,9999,0.0,777000,0,1800,0,0
C,50,F,9999,51.0,108000,0,300,0,0
C,38,M,9999,39.0,276000,0,600,0,0
A,32,M,10,87.0,954000,0,954000,0,0
B,31,F,15,66.0,581000,0,581000,0,0
C,54,M,9999,10.0,520000,0,1700,0,0
B,55,F,10,19.0,508000,0,508000,0,0
B,30,F,15,37.0,706000,0,706000,0,0
C,47,M,9999,18.0,837000,0,2200,0,0
B,51,M,15,58.0,750000,0,750000,0,0
A,55,F,10,63.0,897000,0,897000,0,0
C,49,F,9999,9.0,600000,0,1700,0,0
B,27,M,15,95.0,334000,0,334000,0,0
B,50,M,10,9.0,958000,0,958000,0,0
D,28,F,9999,56.0,42000,0,100,0,0
B,50,F,10,25.0,748000,0,748000,0,0
C,32,M,9999,81.0,541000,0,1000,0,0
C,41,M,9999,34.0,31000,0,100,0,0
B,59,M,20,86.0,530000,0,530000,0,0
B,33,M,20,36.0,141000,0,141000,0,0
C,28,F,9999,82.0,364000,0,600,0,0
D,24,M,9999,46.0,685000,0,1100,0,0
D,47,F,9999,91.0,418000,0,1100,0,0
D,23,F,9999,50.0,795000,0,1200,0,0
C,56,M,9999,78.0,574000,0,2000,0,0
C,28,F,9999,55.0,61000,0,100,0,0
B,42,F,20,46.0,521000,0,521000,0,0
C,52,M,9999,26.0,234000,0,700,0,0
A,38,F,20,8.0,522000,0,522000,0,0
C,41,F,9999,24.0,671000,0,1500,0,0
D,22,F,9999,48.0,632000,0,1000,0,0
D,58,F,9999,36.0,813000,0,3100,0,0
D,39,M,9999,87.0,213000,0,500,0,0
A,36,M,20,94.0,453000,0,453000,0,0
B,41,M,10,93.0,843000,0,843000,0,0
C,50,M,9999,64.0,852000,0,2400,0,0
D,47,F,9999,83.0,100000,0,300,0,0
B,35,M,10,82.0,620000,0,620000,0,0
B,49,F,10,16.0,498000,0,498000,0,0
B,39,M,10,10.0,781000,0,781000,0,0
B,25,M,20,75.0,205000,0,205000,0,0
C,22,M,9999,40.0,139000,0,200,0,0
A,53,M,10,53.0,274000,0,274000,0,0
C,31,M,9999,70.0,778000,0,1400,0,0
B,52,F,10,24.0,642000,0,642000,0,0
B,57,M,20,14.0,188000,0,188000,0,0
C,37,M,9999,0.0,88000,0,200,0,0
D,30,M,9999,1.0,622000,0,1100,0,0
D,28,M,9999,31.0,76000,0,200,0,0
C,42,M,9999,8.0,891000,0,2000,0,0
A,32,M,15,41.0,519000,0,519000,0,0
B,33,F,10,70.0,544000,0,544000,0,0
A,35,M,15,35.0,664000,0,664000,0,0
D,50,F,9999,36.0,721000,0,2100,0,0
C,36,F,9999,24.0,555000,0,1100,0,0
C,24,M,9999,28.0,469000,0,700,0,0
C,47,F,9999,94.0,417000,0,1100,0,0
A,41,M,10,52.0,767000,0,767000,0,0
C,34,F,9999,4.0,948000,0,1800,0,0
C,29,M,9999,80.0,166000,0,300,0,0
A,44,M,10,17.0,861000,0,861000,0,0
A,26,M,20,16.0,25000,0,25000,0,0
A,43,F,15,5.0,688000,0,688000,0,0
D,47,F,9999,85.0,893000,0,2300,0,0
