pol_num,status,issue_date,inc_guar,qual,age,product,gender,wd_age,term_date
1,Active,2014-12-17,TRUE,FALSE,56,b,F,77,NA
2,Surrender,2007-09-24,FALSE,FALSE,71,a,F,71,2019-07-21
3,Active,2012-10-06,FALSE,TRUE,62,b,F,63,NA
4,Surrender,2005-06-27,TRUE,TRUE,62,c,M,62,2019-05-30
5,Active,2019-11-22,FALSE,FALSE,62,c,F,67,NA
6,Active,2018-09-01,FALSE,TRUE,77,a,F,77,NA
7,Active,2011-07-23,TRUE,TRUE,63,a,M,65,NA
8,Surrender,2005-11-08,TRUE,TRUE,58,a,M,58,2015-10-20
9,Active,2010-09-19,FALSE,FALSE,53,c,M,64,NA
10,Active,2012-05-25,TRUE,FALSE,61,b,M,73,NA
11,Active,2019-10-16,TRUE,TRUE,62,b,M,73,NA
12,Active,2012-04-21,TRUE,FALSE,80,c,M,80,NA
13,Surrender,2008-01-03,FALSE,TRUE,80,b,M,80,2008-05-31
14,Active,2010-12-10,TRUE,TRUE,67,c,M,70,NA
15,Active,2017-06-28,FALSE,FALSE,56,c,F,60,NA
16,Surrender,2005-02-21,FALSE,TRUE,63,c,M,71,2017-07-09
17,Surrender,2015-09-12,FALSE,TRUE,62,c,M,72,2017-08-13
18,Active,2018-08-20,TRUE,TRUE,63,b,F,79,NA
19,Active,2014-06-24,TRUE,TRUE,63,c,F,68,NA
20,Active,2019-06-21,TRUE,TRUE,57,a,M,66,NA
21,Death,2005-09-10,TRUE,FALSE,69,a,F,69,2018-09-27
22,Surrender,2008-03-12,TRUE,TRUE,72,c,F,77,2018-01-18
23,Active,2009-08-22,TRUE,FALSE,63,b,M,69,NA
24,Active,2019-10-16,TRUE,TRUE,75,c,M,76,NA
25,Death,2009-04-09,FALSE,TRUE,61,c,M,62,2011-03-29
26,Death,2008-10-13,TRUE,TRUE,64,a,F,64,2010-10-08
27,Active,2010-06-10,FALSE,TRUE,59,c,M,79,NA
28,Active,2010-10-03,TRUE,TRUE,76,c,M,76,NA
29,Active,2014-05-17,TRUE,TRUE,67,c,F,80,NA
30,Active,2016-12-11,TRUE,TRUE,67,c,F,67,NA
31,Active,2019-10-25,FALSE,FALSE,71,a,M,80,NA
32,Active,2005-12-01,TRUE,FALSE,48,c,F,53,NA
33,Active,2008-07-09,TRUE,FALSE,59,a,M,69,NA
34,Surrender,2007-11-23,TRUE,FALSE,54,b,M,65,2019-04-10
35,Active,2018-04-18,TRUE,TRUE,66,c,M,66,NA
36,Death,2011-09-09,TRUE,TRUE,70,b,M,70,2018-10-14
37,Surrender,2007-11-15,TRUE,TRUE,56,a,F,56,2019-04-18
38,Active,2015-03-31,TRUE,TRUE,69,c,F,79,NA
39,Active,2014-08-20,FALSE,TRUE,50,b,M,64,NA
40,Active,2015-01-05,TRUE,FALSE,72,b,F,80,NA
41,Active,2016-11-16,FALSE,FALSE,70,c,M,70,NA
42,Surrender,2012-04-08,FALSE,TRUE,56,c,F,62,2019-02-24
43,Active,2012-01-04,TRUE,TRUE,73,c,F,78,NA
44,Active,2013-11-12,TRUE,FALSE,73,c,F,73,NA
45,Active,2016-01-30,FALSE,TRUE,71,b,M,73,NA
