policy_id,age_at_entry,sex,policy_term,policy_count,sum_assured,duration_mth
1,47,M,10,86,622000,1
2,29,M,20,56,752000,210
3,51,F,10,83,799000,15
4,32,F,20,72,422000,125
5,28,M,15,99,605000,55
6,51,F,20,58,89000,66
7,45,F,10,82,513000,100
8,47,F,15,62,85000,80
9,59,F,10,83,404000,84
10,35,F,20,34,839000,227
11,53,F,10,25,771000,-2
12,33,M,10,62,708000,34
13,42,M,20,6,806000,174
14,43,M,20,7,492000,212
15,28,F,15,59,864000,113
16,27,M,15,84,421000,110
17,29,F,20,99,428000,162
18,46,M,10,29,780000,-14
19,44,M,15,5,968000,-26
20,57,F,15,34,274000,129
21,48,M,20,65,453000,40
22,29,F,15,68,441000,162
23,56,M,15,35,769000,26
24,57,F,10,81,295000,37
25,49,M,10,89,999000,-19
26,46,M,20,28,361000,65
27,25,M,15,19,407000,108
28,23,M,10,2,860000,1
29,30,M,10,70,859000,94
30,37,F,20,81,513000,21
31,22,M,20,55,822000,74
32,55,M,20,99,390000,133
33,38,M,20,97,616000,-10
34,47,M,15,91,981000,158
35,28,F,20,17,781000,27
36,33,M,20,22,343000,143
37,24,M,20,4,364000,84
38,49,F,20,15,898000,84
39,50,M,20,68,439000,198
40,28,M,10,57,605000,110
41,48,M,10,70,418000,59
42,23,F,15,43,79000,53
43,35,M,20,86,665000,99
44,26,F,20,75,359000,138
45,49,M,20,96,377000,18
46,33,F,20,44,43000,161
47,38,F,20,51,112000,69
48,38,F,20,31,211000,58
49,39,M,15,29,319000,139
50,30,M,20,4,474000,238
51,42,M,20,72,238000,83
52,52,F,15,58,471000,32
53,39,M,10,36,602000,108
54,27,M,20,68,171000,-35
55,20,F,10,74,63000,-3
56,25,F,10,27,996000,-10
57,23,M,20,14,146000,55
58,23,F,15,22,745000,88
59,24,M,20,10,810000,136
60,43,F,10,97,913000,37
61,52,F,15,49,765000,128
62,54,M,20,46,59000,74
63,46,F,10,92,592000,64
64,44,F,20,58,725000,215
65,33,F,20,7,218000,0
66,57,M,20,76,517000,133
67,45,F,20,34,383000,67
68,48,F,15,38,583000,-13
69,49,F,15,39,465000,129
70,54,M,20,84,679000,157
71,48,F,10,64,735000,65
72,57,M,10,21,133000,67
73,41,M,15,12,256000,-4
74,41,F,15,93,520000,160
75,30,M,10,68,828000,118
76,57,M,15,54,967000,-19
77,42,F,20,8,773000,19
78,39,F,15,54,293000,90
79,32,M,15,10,731000,-15
80,30,F,20,3,199000,171
81,45,F,15,97,989000,24
82,38,M,10,86,412000,93
83,42,F,20,8,848000,224
84,46,M,20,68,482000,183
85,55,M,10,15,273000,-21
86,33,F,15,9,66000,82
87,47,M,20,34,360000,-28
88,56,M,10,12,216000,40
89,38,M,10,17,228000,-8
90,30,M,20,78,541000,-12
91,31,M,10,69,859000,-27
92,33,M,10,25,385000,46
93,45,M,20,69,864000,45
94,30,F,10,69,748000,47
95,53,M,10,92,460000,-5
96,34,M,10,99,991000,-25
97,22,M,10,27,399000,108
98,20,F,15,23,483000,10
99,21,M,20,76,928000,109
100,45,M,10,77,163000,69
101,33,M,15,35,888000,107
102,31,M,20,45,279000,67
103,44,M,20,18,638000,28
104,22,F,15,98,260000,152
105,41,F,20,55,390000,239
106,44,M,10,35,644000,-24
107,21,F,10,58,29000,36
108,27,F,10,72,12000,77
109,35,M,15,31,627000,-6
110,32,F,20,32,867000,211
111,58,M,20,61,471000,93
112,37,F,20,55,566000,111
113,45,F,10,82,866000,-9
114,26,F,15,26,942000,40
115,52,M,20,95,524000,37
116,28,M,15,18,870000,30
117,50,M,20,7,859000,154
118,38,F,20,92,617000,97
119,36,F,20,92,413000,118
120,39,F,10,35,999000,28
121,41,F,20,14,298000,-30
122,30,F,15,30,804000,75
123,24,M,15,98,393000,67
124,31,M,20,24,829000,4
125,59,F,15,92,710000,101
126,31,F,20,17,53000,21
127,46,F,15,39,874000,4
128,30,M,15,40,56000,42
129,53,F,10,91,74000,-31
130,39,F,15,9,419000,172
131,42,M,15,89,157000,137
132,28,F,20,80,899000,167
133,44,M,10,95,402000,64
134,39,M,20,76,482000,-5
135,48,F,15,71,61000,3
136,29,F,15,83,831000,85
137,44,M,15,26,651000,46
138,53,F,10,47,413000,36
139,38,M,10,50,413000,1
140,27,F,10,42,242000,-18
141,22,M,15,35,453000,137
142,54,M,20,58,51000,135
143,40,F,15,74,693000,72
144,27,M,10,47,142000,83
145,31,F,15,67,148000,128
146,50,M,15,48,556000,56
147,34,M,10,50,192000,-31
148,44,M,15,83,837000,148
149,52,M,20,46,185000,8
150,28,F,20,17,593000,143
151,54,F,20,50,181000,-30
152,50,M,20,47,177000,19
153,33,M,15,66,561000,47
154,29,F,10,7,849000,22
155,33,M,15,31,732000,138
156,23,M,15,24,400000,67
157,37,M,20,5,238000,207
158,44,M,10,41,672000,73
159,50,F,15,43,913000,72
160,41,M,10,90,119000,108
161,24,M,15,57,910000,-4
162,45,F,10,80,395000,-26
163,23,F,10,10,856000,25
164,26,F,20,76,520000,164
165,58,F,10,25,995000,-10
166,29,M,10,78,651000,111
167,43,F,10,14,634000,98
168,47,M,20,9,94000,80
169,52,M,10,85,455000,80
170,23,M,15,49,508000,139
171,53,F,15,43,643000,18
172,55,F,10,27,383000,46
173,47,M,15,56,244000,87
174,37,M,20,51,574000,132
175,30,M,20,18,563000,176
176,44,F,15,76,643000,-10
177,46,M,20,88,735000,167
178,32,M,10,34,688000,-27
179,47,F,15,57,608000,34
180,27,M,10,70,953000,-34
181,30,M,15,76,333000,14
182,20,M,10,10,183000,21
183,31,M,15,68,549000,-28
184,28,M,20,40,408000,89
185,52,M,15,95,944000,66
186,54,M,15,91,627000,-31
187,54,F,10,21,814000,-4
188,58,F,20,7,284000,162
189,45,F,20,57,884000,53
190,37,M,10,4,839000,23
191,43,M,10,62,950000,-10
192,35,M,20,88,69000,88
193,38,F,15,70,187000,70
194,31,F,20,19,448000,118
195,47,M,20,89,479000,37
196,58,M,10,94,135000,53
197,26,M,20,13,515000,115
198,22,F,15,88,558000,131
199,35,M,15,79,592000,-4
200,36,M,20,0,558000,92
201,36,M,20,37,102000,83
202,26,M,10,37,670000,104
203,26,M,10,58,543000,95
204,29,F,10,87,650000,114
205,43,F,20,73,665000,210
206,51,F,20,6,68000,-16
207,38,F,20,74,539000,-4
208,28,F,15,13,64000,179
209,37,F,15,37,965000,117
210,42,M,15,51,358000,83
211,57,F,10,20,250000,67
212,34,F,20,29,981000,213
213,29,M,20,75,271000,207
214,40,M,10,71,75000,94
215,22,M,10,70,787000,-6
216,33,M,20,23,763000,126
217,26,M,10,4,565000,32
218,31,M,15,15,835000,180
219,25,M,15,21,118000,155
220,31,M,15,73,996000,39
221,34,M,10,26,679000,7
222,23,M,20,87,841000,-24
223,33,F,15,57,597000,154
224,39,F,20,75,835000,-2
225,23,M,20,20,216000,36
226,55,M,20,74,844000,79
227,55,M,15,48,476000,104
228,57,F,15,78,44000,177
229,24,F,15,18,129000,60
230,21,F,10,79,426000,65
231,58,F,15,5,304000,159
232,56,M,10,87,661000,-9
233,52,F,20,89,862000,211
234,24,F,10,27,940000,-18
235,46,F,20,74,487000,61
236,49,M,15,24,735000,71
237,31,M,20,83,128000,205
238,55,M,20,35,233000,194
239,50,F,15,2,248000,119
240,26,M,10,77,104000,4
241,43,M,20,90,630000,120
242,33,M,10,71,363000,96
243,51,M,15,45,372000,32
244,35,F,20,56,914000,108
245,54,F,20,19,396000,63
246,33,F,15,14,628000,-12
247,46,M,20,15,732000,132
248,40,M,10,13,107000,50
249,36,F,10,68,514000,-21
250,20,M,15,77,881000,149
251,59,M,20,92,45000,95
252,36,F,15,87,434000,30
253,33,F,15,60,610000,76
254,55,M,20,99,707000,233
255,20,M,10,63,778000,70
256,23,F,10,86,161000,88
257,38,F,10,67,110000,-28
258,39,F,10,23,243000,20
259,54,M,20,48,953000,191
260,39,M,15,41,890000,158
261,48,M,20,15,472000,107
262,51,F,15,46,272000,167
263,30,M,10,74,295000,-14
264,58,F,10,31,777000,86
265,57,F,15,22,917000,175
266,48,F,15,4,406000,168
267,21,F,10,20,388000,89
268,30,M,15,47,427000,-30
269,25,M,10,85,626000,37
270,46,M,20,80,476000,235
271,21,M,20,82,906000,39
272,33,F,10,79,517000,87
273,20,M,20,4,739000,184
274,50,M,20,74,823000,196
275,35,F,20,77,784000,-7
276,47,M,10,37,208000,33
277,26,F,10,64,594000,-2
278,59,F,15,23,40000,83
279,37,F,15,4,255000,150
280,54,F,10,94,659000,-24
281,59,F,10,47,674000,59
282,21,M,15,52,136000,6
283,58,F,20,15,85000,-15
284,31,F,20,74,216000,219
285,57,M,10,30,527000,105
286,54,F,20,7,969000,67
287,23,M,15,19,962000,-1
288,44,M,15,90,841000,41
289,23,F,15,18,432000,127
290,33,M,20,98,380000,199
291,55,F,10,88,737000,107
292,22,F,20,16,166000,31
293,43,M,15,75,654000,3
294,50,F,10,67,444000,79
295,46,M,10,20,873000,63
296,20,M,10,15,462000,7
297,47,M,20,83,353000,226
298,23,F,15,73,658000,-2
299,52,F,10,84,217000,116
300,59,M,15,58,955000,-2
301,58,M,15,22,573000,105
302,51,F,20,29,515000,34
303,33,M,20,72,940000,171
304,54,M,10,3,246000,-24
305,43,M,15,56,214000,8
306,39,M,10,90,23000,88
307,43,F,15,18,138000,117
308,26,M,15,98,609000,69
309,24,F,20,80,382000,98
310,41,F,20,88,115000,24
311,42,M,20,1,89000,184
312,37,F,10,42,198000,6
313,47,F,15,58,143000,169
314,26,F,15,63,815000,147
315,37,F,15,25,947000,163
316,26,M,20,32,807000,203
317,36,F,20,5,626000,80
318,30,M,10,29,546000,-29
319,48,M,15,9,272000,18
320,57,F,15,93,694000,150
321,48,M,10,94,369000,119
322,59,M,15,57,34000,75
323,24,F,10,60,89000,48
324,48,M,20,81,388000,-4
325,31,M,20,78,459000,14
326,48,M,15,30,518000,40
327,39,F,15,54,812000,133
328,49,M,20,7,343000,94
329,24,F,10,38,793000,91
330,40,M,15,6,91000,119
331,36,F,10,95,671000,-17
332,27,F,10,81,507000,116
333,28,M,15,75,296000,120
334,55,M,20,76,212000,110
335,46,M,15,13,907000,84
336,55,M,20,45,807000,68
337,44,F,20,89,908000,8
338,48,M,15,24,850000,39
339,55,M,15,91,890000,151
340,57,M,20,32,573000,38
341,22,M,10,52,673000,74
342,59,M,10,97,918000,90
343,43,M,15,9,66000,156
344,40,F,10,18,979000,26
345,53,M,10,71,238000,-24
346,50,M,15,5,51000,-13
347,31,F,15,74,403000,163
348,44,F,20,72,663000,-1
349,45,M,10,74,456000,78
350,24,F,15,75,409000,-13
351,21,M,15,70,285000,118
352,32,F,10,41,346000,-35
353,48,M,15,45,752000,81
354,22,F,15,22,563000,34
355,50,F,10,97,805000,65
356,55,F,15,13,967000,72
357,35,F,20,92,471000,74
358,20,F,20,52,236000,157
359,47,F,10,40,383000,72
360,41,M,20,53,171000,193
361,50,M,15,34,224000,177
362,27,M,20,25,133000,158
363,35,F,10,70,802000,13
364,25,F,20,46,342000,99
365,24,M,10,30,424000,109
366,26,F,10,53,321000,39
367,40,M,20,39,814000,-9
368,55,M,10,45,744000,47
369,28,F,10,73,234000,5
370,39,F,20,5,243000,93
371,46,M,20,50,712000,207
372,33,F,15,98,240000,60
373,20,F,20,48,357000,202
374,59,M,15,38,267000,3
375,47,M,20,45,513000,67
376,41,M,20,22,24000,-19
377,33,F,10,21,484000,12
378,32,M,15,93,911000,120
379,32,M,10,47,546000,79
380,34,M,20,91,892000,35
381,44,F,10,5,732000,-14
382,47,M,20,9,475000,68
383,50,F,10,51,362000,36
384,24,M,20,24,971000,106
385,32,F,20,48,495000,-6
386,50,F,15,43,656000,65
387,47,M,15,46,939000,158
388,55,M,15,63,684000,11
389,25,M,20,44,288000,75
390,39,F,10,19,604000,113
391,28,M,10,50,985000,35
392,37,F,20,57,331000,168
393,50,F,15,68,90000,124
394,25,M,15,39,48000,103
395,40,F,10,23,766000,64
396,36,F,10,52,147000,-8
397,21,M,10,91,683000,116
398,50,M,10,63,849000,29
399,52,M,10,69,689000,-21
400,36,F,10,93,344000,-19
401,23,F,15,25,450000,96
402,44,F,10,21,847000,-26
403,59,F,10,64,903000,96
404,21,F,10,100,664000,11
405,35,M,15,82,339000,135
406,28,M,20,30,522000,47
407,58,M,10,96,829000,36
408,28,M,10,99,47000,-25
409,55,M,15,60,501000,64
410,59,F,15,26,697000,-3
411,51,M,15,63,652000,60
412,21,M,20,37,76000,11
413,24,M,10,2,677000,-7
414,28,M,20,76,481000,69
415,57,F,15,85,116000,141
416,21,M,20,34,843000,120
417,46,F,10,9,459000,57
418,45,F,15,90,115000,-22
419,33,M,10,69,817000,18
420,46,M,20,2,544000,234
421,20,F,20,58,487000,85
422,33,F,15,99,353000,77
423,51,M,10,76,485000,84
424,21,M,10,68,492000,-12
425,44,F,15,61,546000,71
426,37,F,20,85,39000,1
427,55,M,15,9,967000,3
428,26,F,20,61,227000,231
429,57,M,10,11,265000,102
430,37,M,15,90,538000,9
431,44,F,10,86,692000,106
432,34,M,10,9,15000,29
433,49,M,15,49,140000,-13
434,28,M,20,92,408000,96
435,48,M,15,67,818000,30
436,53,F,10,34,43000,82
437,42,M,10,72,960000,58
438,47,M,20,27,335000,82
439,39,M,10,57,685000,84
440,38,F,10,9,208000,17
441,38,F,10,70,852000,62
442,35,M,10,58,577000,45
443,55,F,10,21,332000,30
444,24,M,20,7,874000,35
445,58,M,10,44,682000,43
446,44,M,20,3,446000,43
447,32,F,15,88,349000,135
448,40,M,20,63,525000,119
449,42,M,15,73,977000,11
450,56,M,10,76,707000,96
451,53,M,20,26,59000,190
452,58,F,15,71,727000,159
453,24,M,10,73,494000,18
454,52,M,15,14,370000,81
455,59,F,10,52,278000,80
456,54,M,10,5,236000,75
457,31,F,10,29,166000,84
458,39,F,20,33,260000,97
459,49,F,10,22,140000,-16
460,34,F,10,11,613000,74
461,32,M,10,2,836000,-35
462,39,M,20,6,821000,-22
463,54,M,20,93,399000,200
464,41,F,10,17,597000,1
465,38,M,10,72,70000,-22
466,52,M,20,3,553000,239
467,23,M,10,38,828000,-29
468,26,M,20,88,107000,128
469,30,F,20,23,218000,88
470,44,F,10,8,500000,37
471,33,M,15,23,191000,88
472,56,F,10,14,765000,74
473,37,M,20,35,531000,223
474,28,M,15,94,622000,165
475,39,M,15,62,156000,137
476,31,F,10,10,719000,-24
477,58,F,20,72,189000,101
478,53,M,15,71,613000,56
479,49,M,10,11,831000,61
480,46,M,10,96,455000,10
481,20,F,15,8,689000,29
482,58,M,10,19,538000,-16
483,45,F,15,74,24000,127
484,45,F,10,52,871000,66
485,42,M,10,59,413000,70
486,57,F,10,57,552000,115
487,34,F,10,58,321000,100
488,53,M,15,82,392000,120
489,57,M,20,69,572000,2
490,46,F,15,58,982000,83
491,55,M,15,48,933000,56
492,27,F,10,68,486000,48
493,24,F,15,92,791000,-16
494,28,M,20,51,854000,-22
495,25,F,20,72,494000,-19
496,54,M,20,10,617000,49
497,35,M,20,12,672000,52
498,33,M,10,89,117000,-32
499,50,F,15,55,19000,9
500,47,F,10,40,614000,33
501,59,M,15,42,198000,-14
502,37,M,10,65,743000,-36
503,21,F,10,92,320000,42
504,38,F,10,53,409000,117
505,23,M,10,19,504000,38
506,20,M,20,67,514000,46
507,34,M,10,16,423000,24
508,52,F,20,36,61000,-35
509,26,M,20,83,277000,44
510,32,F,20,35,228000,26
511,43,F,20,76,37000,174
512,33,F,15,32,282000,92
513,27,F,15,45,118000,34
514,22,M,20,90,898000,37
515,50,F,15,48,329000,73
516,44,M,20,73,654000,-35
517,36,F,10,62,995000,92
518,51,F,15,90,887000,9
519,36,F,20,80,193000,235
520,40,F,10,61,722000,105
521,52,F,15,1,996000,146
522,39,M,15,32,75000,55
523,43,F,20,13,881000,127
524,50,M,10,5,745000,46
525,40,M,20,70,85000,-17
526,23,F,20,62,94000,53
527,21,M,15,13,80000,177
528,41,F,20,59,127000,25
529,29,F,20,34,122000,71
530,49,M,10,29,781000,105
531,38,F,15,30,95000,47
532,34,M,20,41,986000,-18
533,53,M,10,50,581000,105
534,55,F,15,69,977000,179
535,21,M,15,45,968000,145
536,38,M,15,46,52000,121
537,40,M,15,98,808000,71
538,24,M,10,90,528000,-20
539,57,F,20,78,825000,4
540,59,F,20,51,613000,-17
541,59,F,20,74,804000,102
542,38,F,10,94,38000,110
543,24,F,20,90,307000,8
544,50,M,10,97,584000,42
545,49,M,20,87,27000,-4
546,23,F,10,9,712000,7
547,44,F,20,87,367000,132
548,52,F,15,49,405000,113
549,21,M,20,73,546000,183
550,26,F,20,92,680000,-7
551,47,F,10,37,13000,18
552,24,F,15,17,794000,111
553,40,F,20,35,465000,-29
554,31,M,10,54,508000,-15
555,21,F,15,60,161000,165
556,36,F,15,95,724000,113
557,38,F,10,95,299000,18
558,39,F,15,10,171000,38
559,21,M,20,28,537000,-29
560,37,M,15,91,972000,140
561,39,M,10,35,846000,81
562,21,M,20,65,444000,148
563,22,M,15,63,193000,1
564,43,M,15,60,780000,-6
565,22,M,20,83,939000,189
566,49,F,15,37,767000,10
567,40,M,15,89,732000,162
568,59,M,10,99,893000,1
569,58,M,10,20,395000,77
570,42,M,20,80,878000,101
571,50,F,10,100,566000,0
572,57,M,20,95,33000,28
573,29,F,10,27,256000,75
574,58,M,10,91,740000,18
575,50,M,20,98,113000,51
576,28,M,15,60,539000,35
577,22,F,10,44,511000,64
578,22,F,10,83,231000,56
579,57,F,15,85,278000,169
580,26,M,20,40,28000,100
581,20,M,10,22,299000,-31
582,49,M,15,53,651000,170
583,48,M,10,3,112000,56
584,30,F,15,66,553000,-2
585,33,F,10,92,266000,-18
586,24,M,15,49,869000,94
587,33,M,10,89,163000,74
588,57,M,10,26,512000,-10
589,39,M,20,83,34000,45
590,47,M,10,52,871000,33
591,36,M,20,66,683000,95
592,58,M,20,46,384000,186
593,31,M,20,97,494000,-20
594,33,F,15,8,326000,9
595,46,M,20,44,230000,138
596,27,M,15,84,914000,-11
597,20,M,15,17,102000,50
598,25,F,15,49,341000,65
599,44,M,15,31,84000,26
600,57,M,10,65,623000,50
601,38,M,15,12,376000,146
602,26,M,15,12,195000,41
603,56,M,15,77,13000,99
604,52,M,15,65,460000,98
605,51,F,15,95,305000,118
606,28,F,10,42,356000,22
607,26,F,10,38,768000,82
608,54,F,20,78,309000,176
609,59,F,10,9,729000,6
610,22,M,15,38,329000,6
611,25,M,15,56,207000,141
612,35,F,10,47,668000,85
613,57,F,10,68,510000,-14
614,36,M,10,17,991000,80
615,28,F,15,21,838000,-18
616,59,F,20,16,149000,34
617,36,F,15,21,559000,129
