age_at_entry,policy_term,premium_rate
20,10,4.64098E-05
,15,5.20142E-05
,20,5.74162E-05
21,10,4.76585E-05
,15,5.35875E-05
,20,5.93505E-05
22,10,4.90033E-05
,15,5.5281E-05
,20,6.14333E-05
23,10,5.04508E-05
,15,5.71035E-05
,20,6.36762E-05
24,10,5.20084E-05
,15,5.90648E-05
,20,6.60919E-05
25,10,5.3684E-05
,15,6.11755E-05
,20,6.86944E-05
26,10,5.54865E-05
,15,6.34472E-05
,20,7.1499E-05
27,10,5.74253E-05
,15,6.58928E-05
,20,7.45225E-05
28,10,5.95111E-05
,15,6.85262E-05
,20,7.77835E-05
29,10,6.17553E-05
,15,7.13631E-05
,20,8.13024E-05
30,10,6.41705E-05
,15,7.44202E-05
,20,8.51018E-05
31,10,6.67706E-05
,15,7.77164E-05
,20,8.92064E-05
32,10,6.95708E-05
,15,8.12721E-05
,20,9.36438E-05
33,10,7.25879E-05
,15,8.511E-05
,20,9.84442E-05
34,10,7.58404E-05
,15,8.92553E-05
,20,0.000103641
35,10,7.93484E-05
,15,9.37354E-05
,20,0.000109272
36,10,8.31344E-05
,15,9.85809E-05
,20,0.000115378
37,10,8.7223E-05
,15,0.000103826
,20,0.000122004
38,10,9.16415E-05
,15,0.000109507
,20,0.000129201
39,10,9.642E-05
,15,0.000115666
,20,0.000137026
40,10,0.000101592
,15,0.000122349
,20,0.000145541
41,10,0.000107194
,15,0.000129606
,20,0.000154815
42,10,0.000113267
,15,0.000137496
,20,0.000164927
43,10,0.000119856
,15,0.000146079
,20,0.000175964
44,10,0.000127012
,15,0.000155428
,20,0.000188021
45,10,0.00013479
,15,0.000165619
,20,0.000201206
46,10,0.000143253
,15,0.00017674
,20,0.000215641
47,10,0.00015247
,15,0.000188888
,20,0.000231461
48,10,0.000162518
,15,0.000202173
,20,0.000248817
49,10,0.000173483
,15,0.000216715
,20,0.000267878
50,10,0.000185462
,15,0.000232652
,20,0.000288836
51,10,0.000198562
,15,0.000250135
,20,0.000311903
52,10,0.000212903
,15,0.000269337
,20,0.00033732
53,10,0.000228621
,15,0.00029045
,20,0.000365356
54,10,0.000245866
,15,0.00031369
,20,0.000396316
55,10,0.000264808
,15,0.000339301
,20,0.000430541
56,10,0.000285639
,15,0.000367556
,20,0.000468415
57,10,0.000308573
,15,0.000398765
,20,0.000510371
58,10,0.000333852
,15,0.000433276
,20,0.000556897
59,10,0.000361748
,15,0.000471482
,20,0.000608544
